Субъекты;;"Врожденные аномалии 
 (пороки развития), деформации и 
хромосомные нарушения ";;"Врожденные аномалии системы 
кровообращения";;"Врожденные аномалии развития нервной 
системы";;Врожденные деформации бедра;;Неопределенность пола и псевдогермафродитизм;;Врожденный ихтиоз;
;;абсолютные числа;на 100000 дет. населения;абсолютные числа;на 100000 дет. населения;абсолютные числа;на 100000 дет. населения;абсолютные числа;на 100000 дет. населения;абсолютные числа;на 100000 дет. населения;абсолютные числа;на 100000 дет. населения
Российская Федерация;;854468;3503;397344;1629;23206;95,1;63251;259,3;256;1,05;2792;11,45
Центральный ФО;;173511;3105,2;82180;1470,7;5107;91,4;14719;263,4;33;0,59;505;9,04
Южный ФО;;61776;2699,9;30239;1321,6;1421;62,1;3599;157,3;43;1,88;273;11,93
Северо-Кавказский ФО;;50025;2266;18317;829,7;1011;45,8;4604;208,5;21;0,95;112;5,07
Приволжский ФО;;240290;4859,2;115238;2330,4;5559;112,4;15082;305;57;1,15;780;15,77
Уральский ФО;;66508;2964,4;32349;1441,9;1699;75,7;5336;237,8;22;0,98;257;11,46
Сибирский ФО;;117367;3283;57620;1611,7;4317;120,8;6008;168,1;46;1,29;394;11,02
Дальневосточный ФО;;36895;3326,5;16342;1473,4;947;85,4;2354;212,2;10;0,9;171;15,42
Крымский ФО;;3412;919,7;669;180,3;56;15,1;354;95,4;2;0,54;9;2,43
СЗФО;;94125;4542,5;38611;1863,4;2526;121,9;10458;504,7;19;0,92;228;11
Республика Карелия;;7365;7018,8;5107;4867;193;183,9;531;506;;;9;8,58
Республика Коми;;8345;5243,8;2252;1415,1;306;192,3;850;534,1;4;2,51;26;16,34
Архангельская обл. без АО;;13280;6816,9;5764;2958,8;333;170,9;2902;1489,6;;;23;11,81
Ненецкий автономный округ;;848;8584,7;436;4413,8;9;91,1;48;485,9;;;1;10,12
Вологодская область;;6098;2962,6;2837;1378,3;212;103;342;166,2;5;2,43;15;7,29
Калининградская область;;7116;4622,1;2801;1819,4;124;80,5;1519;986,6;1;0,65;31;20,14
Ленинградская область;;4893;2024,3;1933;799,7;278;115;278;115;3;1,24;32;13,24
Мурманская область;;3290;2554,3;1232;956,5;108;83,9;227;176,2;;;8;6,21
Новгородская область;;4703;4837,2;2672;2748,3;133;136,8;93;95,7;2;2,06;3;3,09
Псковская область;;2439;2518,7;1619;1671,9;113;116,7;64;66,1;;;4;4,13
г. Санкт-Петербург;;35748;5265;11958;1761,2;717;105,6;3604;530,8;4;0,59;76;11,19